34
835 127 866 210
1006 294 1070 387
496 556 544 649
275 723 376 790
568 1052 659 1105
802 876 859 926
707 1064 748 1114
876 637 915 734
48 377 127 447
79 259 139 323
180 210 244 292
577 298 655 335
1190 195 1346 232
1524 523 1553 604
702 424 744 463
364 92 424 143
389 472 428 529
649 453 692 513
680 569 729 653
934 509 1002 550
1223 3 1278 51
1113 420 1169 468
447 1010 511 1064
286 977 341 1033
186 1130 232 1167
32 911 98 971
56 659 114 721
147 598 213 633
345 317 395 381
1295 11 1328 75
1249 1120 1297 1153
1448 1027 1493 1074
678 1124 719 1206
1264 131 1342 176
