36
543 1095 586 1180
741 796 805 857
684 702 751 833
872 863 948 948
1067 924 1131 997
1092 830 1143 894
1018 751 1104 808
961 614 1025 665
967 577 1028 620
1332 1134 1390 1207
1448 29 1506 154
955 0 994 72
821 206 875 282
1116 11 1174 90
1232 391 1271 452
528 248 574 364
589 178 623 273
687 72 714 175
632 75 696 160
1122 647 1180 747
1293 717 1338 799
1265 388 1305 470
1299 388 1338 461
752 670 797 719
372 201 401 304
374 174 428 249
1221 249 1256 307
1260 476 1295 503
1320 379 1392 418
1239 445 1280 484
1260 773 1297 851
1305 831 1332 889
1332 849 1365 913
1260 1058 1307 1109
822 934 868 977
1188 682 1239 717
