33
1174 421 1225 479
1170 266 1223 330
1157 144 1215 187
828 729 901 776
318 1049 351 1130
203 214 273 278
614 591 694 637
861 156 901 247
1124 7 1177 94
566 18 655 71
515 422 608 472
378 765 484 806
257 1004 304 1058
719 818 773 901
866 1103 952 1163
1495 162 1596 193
296 569 389 610
335 480 428 552
44 49 141 86
1415 191 1474 247
1481 278 1553 371
1563 243 1604 325
517 909 572 984
539 348 614 418
1499 839 1574 899
521 143 564 216
956 769 1045 814
773 847 855 901
378 692 457 734
1439 678 1557 730
657 986 700 1056
676 63 760 106
34 143 102 203
