30
193 323 232 385
279 230 325 304
312 86 385 154
273 556 343 585
440 633 480 730
612 569 649 610
736 540 820 569
779 893 843 990
721 1008 766 1076
769 1089 806 1140
1458 831 1497 913
1499 843 1563 901
1239 602 1324 651
1167 711 1221 792
1396 550 1439 659
1454 385 1489 447
1369 321 1410 393
1163 284 1272 329
1526 203 1602 255
1093 1 1126 59
1188 73 1239 170
191 1182 259 1224
653 1186 707 1224
56 567 209 608
145 820 226 858
333 257 399 354
345 362 418 399
191 86 240 166
930 569 1008 618
1270 1019 1334 1128
