45
1172 404 1223 472
1558 446 1602 539
1600 572 1631 646
1232 419 1292 528
1054 619 1085 677
723 417 768 506
287 175 318 262
330 208 415 243
258 371 293 437
185 642 258 687
866 890 909 958
1054 960 1103 1066
926 789 1004 814
1183 593 1272 697
698 608 787 680
137 1072 213 1114
160 1025 226 1058
54 723 102 800
32 635 116 688
133 542 176 641
263 498 304 569
568 470 612 521
758 457 806 523
882 472 956 560
849 424 899 486
996 387 1093 447
882 618 965 664
1039 269 1134 346
863 269 901 342
731 108 781 168
754 98 824 154
343 302 397 344
399 253 447 344
290 3 401 69
1285 26 1324 92
1421 294 1489 335
1477 340 1538 439
1010 880 1057 946
96 1 149 65
125 71 168 135
52 236 110 273
1179 220 1212 278
263 820 319 851
1136 750 1183 839
816 44 907 115
