39
615 5 644 106
55 458 96 530
99 439 130 528
1209 208 1277 249
578 824 634 938
731 871 814 919
799 778 884 818
952 734 1004 790
1167 0 1202 36
1035 7 1062 53
779 53 843 108
1177 226 1218 302
1185 387 1252 490
921 1142 969 1200
201 1122 257 1175
944 424 998 505
987 360 1039 457
1188 86 1291 133
372 79 434 127
686 730 715 810
513 251 585 286
525 181 589 216
525 146 589 174
736 189 787 259
804 447 861 517
791 292 835 381
172 595 246 653
409 459 492 498
482 847 556 930
515 1128 572 1211
1536 841 1584 946
1379 342 1458 404
1175 608 1245 659
75 765 174 814
1113 133 1183 189
750 759 793 835
1041 703 1132 738
1136 651 1175 728
149 998 195 1120
