31
955 2 1000 62
1445 32 1515 154
1216 242 1265 318
1235 391 1265 452
556 1089 589 1180
744 784 802 857
821 199 875 288
623 78 699 160
674 69 720 175
528 248 571 367
869 863 945 961
1085 830 1131 903
1022 751 1098 808
964 607 1046 681
967 577 1031 626
1299 394 1341 467
1346 1151 1390 1204
1262 1060 1311 1118
1179 684 1241 717
1144 647 1183 740
1249 715 1293 806
1274 711 1311 771
1299 833 1328 895
1332 839 1357 903
1051 926 1119 988
841 930 878 986
746 664 810 709
698 711 742 827
1256 474 1291 498
1256 389 1301 463
1113 13 1169 108
